Wall time,Step,Value
1655088728.824204,0,2.3036744594573975
1655088730.2992098,1,2.30342435836792
1655088731.7147043,2,2.3032100200653076
1655088733.1358738,3,2.3030216693878174
1655088734.5351884,4,2.3028624057769775
1655088736.0832214,5,2.3027212619781494
1655088737.6023805,6,2.302609920501709
1655088739.1378205,7,2.3025803565979004
1655088740.7491415,8,2.3025245666503906
1655088742.1628304,9,2.3024721145629883
1655088743.5764263,10,2.3024067878723145
1655088744.985351,11,2.3023738861083984
1655088746.5362182,12,2.3023524284362793
1655088747.9458714,13,2.302332878112793
1655088749.3550076,14,2.3023006916046143
1655088750.7530072,15,2.302278995513916
1655088752.1560886,16,2.3022637367248535
1655088753.6176097,17,2.30224609375
1655088755.0201054,18,2.302232027053833
1655088756.4186597,19,2.3022215366363525
1655088757.8179176,20,2.3022072315216064
1655088759.22194,21,2.30218243598938
1655088760.6346045,22,2.302173137664795
1655088762.0384247,23,2.3021645545959473
1655088763.4380178,24,2.3021485805511475
1655088764.8482218,25,2.302135467529297
1655088766.28629,26,2.302133560180664
1655088767.6902134,27,2.3021278381347656
1655088769.0986362,28,2.3021140098571777
1655088770.4986315,29,2.3021082878112793
1655088771.8966734,30,2.3020975589752197
1655088773.305765,31,2.3020925521850586
1655088774.713355,32,2.302079677581787
1655088776.1613815,33,2.302074432373047
1655088777.5737581,34,2.302072525024414
1655088778.9833794,35,2.302061080932617
1655088780.5533614,36,2.3020455837249756
1655088782.0691397,37,2.301992177963257
1655088783.5444427,38,2.3019843101501465
1655088784.9502304,39,2.301978588104248
1655088786.351012,40,2.301969528198242
1655088787.7685945,41,2.301953077316284
1655088789.2984867,42,2.3019533157348633
1655088790.7237077,43,2.301969051361084
1655088792.1229334,44,2.3019449710845947
1655088793.534455,45,2.3019907474517822
1655088794.9286737,46,2.30194354057312
1655088796.3670819,47,2.30192494392395
1655088797.7726815,48,2.301915168762207
1655088799.1815643,49,2.3019044399261475
1655088800.5808606,50,2.301907539367676
1655088801.9748197,51,2.301891326904297
1655088803.3941178,52,2.3018834590911865
1655088804.8054242,53,2.301851511001587
1655088806.2078369,54,2.3018407821655273
1655088807.6192873,55,2.301830530166626
1655088809.0613067,56,2.3018274307250977
1655088810.4606733,57,2.3018276691436768
1655088811.8565226,58,2.3018181324005127
1655088813.2628589,59,2.3018109798431396
1655088814.6676457,60,2.301797866821289
1655088816.068252,61,2.301797866821289
1655088817.4753802,62,2.3017935752868652
1655088818.9215536,63,2.3017842769622803
1655088820.3694596,64,2.301769733428955
1655088821.892057,65,2.3017704486846924
1655088823.3576598,66,2.301762342453003
1655088824.8981776,67,2.3017497062683105
1655088826.2983239,68,2.3017404079437256
1655088827.7024274,69,2.3017005920410156
1655088829.1043427,70,2.301690101623535
1655088830.5454433,71,2.3016767501831055
1655088832.0056074,72,2.3016703128814697
1655088833.4069166,73,2.3016579151153564
1655088834.8027415,74,2.3016490936279297
1655088836.2016356,75,2.3016438484191895
1655088837.6071112,76,2.3016350269317627
1655088839.0138896,77,2.301619529724121
1655088840.414646,78,2.3016104698181152
1655088841.812797,79,2.3016045093536377
1655088843.2798843,80,2.301602602005005
1655088844.6829169,81,2.301596164703369
1655088846.0828583,82,2.301586389541626
1655088847.4918716,83,2.301577091217041
1655088848.9009657,84,2.3015670776367188
1655088850.301409,85,2.3015553951263428
1655088851.7103586,86,2.3015472888946533
1655088853.1188157,87,2.3015365600585938
1655088854.557394,88,2.301522731781006
1655088856.0069304,89,2.301518678665161
1655088857.4056115,90,2.3015105724334717
1655088858.810642,91,2.3015007972717285
1655088860.207569,92,2.3014919757843018
1655088861.6140988,93,2.3014798164367676
1655088863.024081,94,2.3014705181121826
1655088864.6009243,95,2.301494598388672
1655088866.1227074,96,2.3014914989471436
1655088867.7068782,97,2.301445722579956
1655088869.242076,98,2.301426887512207
1655088870.6403272,99,2.301445245742798
1655088872.0825155,100,2.3014285564422607
1655088873.513324,101,2.3013947010040283
1655088875.0457442,102,2.301387071609497
1655088876.4425826,103,2.3013739585876465
1655088877.8401906,104,2.301365375518799
1655088879.2861872,105,2.301356077194214
1655088880.687806,106,2.301344633102417
1655088882.0949152,107,2.301331043243408
1655088883.5020828,108,2.3013229370117188
1655088884.9102361,109,2.3013100624084473
1655088886.3144772,110,2.301295042037964
1655088887.7122984,111,2.3012795448303223
1655088889.1205688,112,2.30126690864563
1655088890.5182736,113,2.3012540340423584
1655088891.956947,114,2.3012425899505615
1655088893.3657544,115,2.301227331161499
1655088894.7712533,116,2.3012123107910156
1655088896.166677,117,2.3011999130249023
1655088897.573392,118,2.3011860847473145
1655088898.981332,119,2.3011727333068848
1655088900.381381,120,2.3011574745178223
